i,j,w_k,v_k,wk_vk,d_k,d_k_renorm,ratio
40,11,0.09621136819212947,8.64923302650031,0.8321545432921477,0.8009009952688301,0.09222141254791244,0.9624426156472413
48,10,0.10648321208275635,7.5842152634798765,0.8075916023824056,0.7945990332898648,0.11610988023400268,0.9839119561741201
45,3,0.15435484969269614,5.215290029082669,0.8050053085428722,0.7938195924418779,0.04792009041164574,0.9861047921270962
39,21,0.10521552787992909,7.588654471221985,0.7984442860880053,0.7885570157842665,0.03171233040402858,0.9876168312855219
54,34,0.16600482040999923,4.759852797564382,0.7901585088377077,0.7841402765798975,0.028818684514009745,0.9923835126870142
45,9,0.14043740632320956,5.608802002462108,0.7876856058062024,0.7826073613259894,0.021205337116957577,0.9935529550841349
51,43,0.1602174100409765,4.860556492354615,0.7787457725629098,0.7780113426932341,0.12030722704783336,0.9990569067652739
28,52,0.08692277752769983,9.059019898031325,0.7874351712155829,0.7761327076917156,0.019522760675037876,0.9856464837525362
21,23,0.05769120308377136,13.590782091063234,0.7840685696828118,0.7689808046424601,0.034111382727972386,0.9807570847452088
36,52,0.05712102357611183,13.668747353251758,0.7807728398210099,0.7687575651893823,0.020686982321817766,0.9846110494386793
52,7,0.09204925676384138,8.396281201407158,0.772871444169742,0.7628669267887886,0.041041939724328305,0.9870553926446323
